title,artist_name,artist_date,artwork_date,accession_num,art_medium,info_link,img_link
Meiping (Prunus) Vase with Dragons in Waves,,,1723–35,1989.314 ,Porcelain with incised and underglaze red decoration,https://www.clevelandart.org/art/1989.314,https://piction.clevelandart.org/cma/ump.di?e=1F448EBE0D6107CF31B38ABD7AB9CDF1321B0E03C21E938A88C70E7124CFCB53&s=24247294&se=166542550&v=5&f=1989.314_o10.jpg
Dish with Laozi Riding a Water Buffalo (interior); Pavilion and Immortals in Rocky Landscape (exterior),,,1723–35,1989.315 ,Porcelain with underglaze blue decoration,https://www.clevelandart.org/art/1989.315,https://piction.clevelandart.org/cma/ump.di?e=1F448EBE0D6107CF0E12A25972C5AE4286C443E5BE86CA099A5D0013CD68696C&s=24247294&se=1376670083&v=6&f=1989.315_o10.jpg
Bowl with Splayed Foot,,,1700s,1989.319 ,Cloisonné enamel,https://www.clevelandart.org/art/1989.319,https://piction.clevelandart.org/cma/ump.di?e=043E55BC3E2ED3AE88D23F3CF44D4812E05BEAE8AC532B17C5FA54F94EFDB902&s=24247294&se=1376670083&v=0&f=1989.319_o10.jpg
Bowl with Bats and Floral Scrolls,,,1736–95,1989.320 ,Canton enamel,https://www.clevelandart.org/art/1989.320,https://piction.clevelandart.org/cma/ump.di?e=043E55BC3E2ED3AE6E38BB629B8FAC851D73CF16FA8FD99672AD4FC1614D10A5&s=24247294&se=860783020&v=6&f=1989.320_o10.jpg
Vase with Three Rams' Heads,,,1736–1795,1989.321 ,Cloisonné enamel,https://www.clevelandart.org/art/1989.321,https://piction.clevelandart.org/cma/ump.di?e=043E55BC3E2ED3AEEA4BFDF8A9CE618D87B0884FC58F8D98C7AE4BE6CCCD7E47&s=24247294&se=1376670083&v=0&f=1989.321_o10.jpg
Vase in Form of Archaic Zun with Dragons in Relief,,,1736–95,1989.326 ,White jade,https://www.clevelandart.org/art/1989.326,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380A60F04B4CA41C3C11B923484F4B55039F142044710486A424&s=24247294&se=860783020&v=0&f=1989.326_o10.jpg
Stem Cup,,,1368–1644,1989.322 ,White jade,https://www.clevelandart.org/art/1989.322,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B2BD9540E1B489AC01DE431EBB7177F3AECDD68AA30AFFBCA&s=24247294&se=1376670083&v=0&f=1989.322_o10.jpg
Cylindrical Container with Mallows and Inscription in Relief,,,1736–95,1989.323 ,White jade,https://www.clevelandart.org/art/1989.323,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380AB41E5A63FF52C762B47A91CDE4FDF77C64908842FD48A822&s=24247294&se=860783020&v=0&f=1989.323_o10.jpg
Pair of Bowls,,,1736–95,1989.324 ,Spinach jade,https://www.clevelandart.org/art/1989.324,https://piction.clevelandart.org/cma/ump.di?e=B8D67E3961819F56107B47FEC224CBD1CF8C246C96B757D413036CA783EFC147&s=24247294&se=860783020&v=1&f=%5Cd6338%5Cu221063388%5C1989.324_o10.jpg
Oval Cup Stand with Animal Masks,,,1736–1795,1989.327 ,White jade with black markings and incised decoration,https://www.clevelandart.org/art/1989.327,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380ACEDDAF7B10F0F6876F0343BA8EBBFED92BEDA2A3B15F6878&s=24247294&se=1376670083&v=0&f=1989.327_o10.jpg
Belt Hook,,,c. 1700s,1989.328 ,Jade,https://www.clevelandart.org/art/1989.328,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464BF04E4B1741A1966FAEA6AC412F65EDEE2019435D94E5539E&s=24247294&se=1280314936&v=0&f=1989.328_o10.jpg
"Kneeling Boy, Fragment",,,1500s,1989.329 ,Ivory,https://www.clevelandart.org/art/1989.329,https://piction.clevelandart.org/cma/ump.di?e=6481667D7D459096E46960D01C5500125D23FDF40B9A5342F88B280AC1CA81A0&s=24247294&se=792573221&v=1&f=%5Cd3170%5Cu2831709%5C1989.329_o10.jpg
Guardian Kings:  Dhrtarastra and Virupaksa,,,1st half of 1300s,1989.476 ,"Thangka, ink and color on cotton",https://www.clevelandart.org/art/1989.476,https://piction.clevelandart.org/cma/ump.di?e=E5315C5F1E77512F74282005D84C33E9723930C4D46BAF31DEC0181B69A8DF53&s=24247294&se=1280314936&v=0&f=1989.476_o10.jpg
Chariot Axle Cuff,,,c. 1046–771 BC,1990.30 ,Bronze,https://www.clevelandart.org/art/1990.30,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B547DEB87BCC5D738108FB01353C58E05B456B799A198C631&s=24247294&se=1949138686&v=0&f=1990.30_o10.jpg
Seated Guanyin,,,1600s-1700s,1989.331 ,Bamboo,https://www.clevelandart.org/art/1989.331,https://piction.clevelandart.org/cma/ump.di?e=6481667D7D45909605EB4073DA25ABC7836BA5BF3E5F5F921A59E75CF019FBC3&s=24247294&se=1376670083&v=1&f=%5Cd3142%5Cu2831429%5C1989.331_o10.jpg
Miniature Garden Seat,,,late 1700s–early 1800s,1989.330 ,Ivory with pigments,https://www.clevelandart.org/art/1989.330,https://piction.clevelandart.org/cma/ump.di?e=6481667D7D459096D7AC89328D694DEB7D4DB30DBC1AF39E0ADF661C5C7CB74F&s=24247294&se=1701761758&v=1&f=%5Cd3168%5Cu2831689%5C1989.330_o10.jpg
Brushwasher in Shape of Lotus Leaf,,,19th Century,1990.35 ,Translucent jadeite,https://www.clevelandart.org/art/1990.35,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380A63B6C878553782A3FEFF8D20EFEDC6A5896A761DCA9EC646&s=24247294&se=1280314936&v=0&f=1990.35_o10.jpg
Ceremonial Disk-Axe (Yue),,,c. 4700–2920 BC,1991.6 ,Serpentine stone,https://www.clevelandart.org/art/1991.6,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B8BEF8EDA7E0544B32D92883FBF30494445C597E68E61B8B6&s=24247294&se=59317207&v=3&f=1991.6_o10.jpg
Pair of Jade Plaques,,,475–221 BC,1991.78 ,Nephrite,https://www.clevelandart.org/art/1991.78,https://piction.clevelandart.org/cma/ump.di?e=79DBA1A752C5658474DFE25CAD44C2A87969B5481CDF47C6A4E47D9174535E64&s=24247294&se=1288813474&v=1&f=%5Cd6556%5Cu228665568%5C1991.78_o10.jpg
Winged Cup (Erbei),,,c. 206–100 BC,1991.7 ,Lacquer,https://www.clevelandart.org/art/1991.7,https://piction.clevelandart.org/cma/ump.di?e=043E55BC3E2ED3AE83BA3982EDEE79484463628E51B4D7635441A2B00B52450C&s=24247294&se=1949138686&v=0&f=1991.7_o10.jpg
Miracle of the Dragon,,,1600s,1991.9 ,"Hanging scroll, ink, color, and gold on silk",https://www.clevelandart.org/art/1991.9,https://piction.clevelandart.org/cma/ump.di?e=01C5ADF2D598CDDE446BEC43844FA074276250E724018B6FEDF3B38E29EA4C95&s=24247294&se=1280314936&v=3&f=1991.9_o10.jpg
Shallow Basin Supported by a Bird (Bian),,,early 400s BC,1991.8 ,Bronze inlaid with powdered malachite and azurite,https://www.clevelandart.org/art/1991.8,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B0407ED488FF49C6901B11445FB2D30957CAEDC752A295C3A&s=24247294&se=935317823&v=3&f=1991.8_o10.jpg
Miniature Votive Stupa,,,AD 435,1990.84 ,Steatite,https://www.clevelandart.org/art/1990.84,https://piction.clevelandart.org/cma/ump.di?e=084309B8413D2C522708C6420F45419F2F63E9BF5CA8521BF3A717A80E98AD8D&s=24247294&se=1701761758&v=1&f=%5Cd3623%5Cu94036232%5C1990.84_o10.jpg
Ceremonial Axe (Fu),,,c. 1900–1500 BC,1991.115 ,Jade (nephrite),https://www.clevelandart.org/art/1991.115,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380A7EEBFF215240F321F535548359C40079024591791BA017CA&s=24247294&se=464482201&v=0&f=1991.115_o10.jpg
Pair of Snuff Bottles with Floral Scrolls,,,1736–95,1991.128 ,Cloisonné enamel,https://www.clevelandart.org/art/1991.128,https://piction.clevelandart.org/cma/ump.di?e=DF73A405762FDAD6A49911AB742A3B8F48B7E21801AFF18CB8D41F526217C1AB&s=24247294&se=792573221&v=1&f=%5Cd4974%5Cu19049745%5C1991.128_o10.jpg
Snuff Bottle with European Figures,,,1736–95,1991.126 ,Painted enamel on copper,https://www.clevelandart.org/art/1991.126,https://piction.clevelandart.org/cma/ump.di?e=6AF971D2FE3A466323DE4BD195BC3B666DBB07B2F26CF5CBCFF515382A260632&s=24247294&se=1701761758&v=3&f=%5Cd6887%5Cu277768870%5C1991.126_o10.jpg
Poet and Recluse Hanshan,,,1400s,1991.117 ,"Hanging scroll, ink and color on silk",https://www.clevelandart.org/art/1991.117,https://piction.clevelandart.org/cma/ump.di?e=6FE10EB72877704D82EE1BD907DBA93E9F45BB97BDE5F23A8B5866364D121989&s=24247294&se=464482201&v=6&f=1991.117_o10.jpg
Snuff Bottle with Flowers,,,1736–95,1991.127 ,Carved cinnabar lacquer,https://www.clevelandart.org/art/1991.127,https://piction.clevelandart.org/cma/ump.di?e=6481667D7D4590962C515096EA7557D48CA0F887BBE138447F22673483725FF7&s=24247294&se=792573221&v=1&f=%5Cd2806%5Cu2828069%5C1991.127_o10.jpg
Volume of Tibetan Buddhist Canon (Kanjur):  Chapter 8 of the Maha prajna paramita sutra,,,1700s,1992.88 ,Vermillion block print on paper,https://www.clevelandart.org/art/1992.88,
Belt Hook,,,late 500s-early 400s BC,1992.49 ,Bronze inlaid with powdered azurite,https://www.clevelandart.org/art/1992.49,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464B89AFF3005343B2998892E0365ACE586208CFD14D29187350&s=24247294&se=792573221&v=1&f=%5Cd3112%5Cu2831129%5C1992.49_o10.jpg
Summer Mountains (after Dong Yuan [active about ad 937-975]),Huang Gongwang,"(Chinese, 1269–1354)",1290–1354,1992.1 ,"Hanging scroll, ink and slight color on silk",https://www.clevelandart.org/art/1992.1,https://piction.clevelandart.org/cma/ump.di?e=EAD82D6C274EE159E87D5FC64C983395698FF29CF1CC05EAA93CD9DDDF966262&s=24247294&se=1516123504&v=6&f=1992.1_o10.jpg
Covered Box with Dragons,,,1573–1620,1992.76 ,Porcelain with underglaze blue decoration,https://www.clevelandart.org/art/1992.76,https://piction.clevelandart.org/cma/ump.di?e=0EA08826AFAB664E777706398F99C40E0B9B9F52B3D9EBA138C6647A5FD187DB&s=24247294&se=900534010&v=0&f=1992.76_o10.jpg
Chariot Canopy Shaft,,,202 BC–AD 9,1992.233 ,Bronze inlaid with silver,https://www.clevelandart.org/art/1992.233,https://piction.clevelandart.org/cma/ump.di?e=043E55BC3E2ED3AE36CF9144D88F931E64B54DCED3F89C2973808F858280690E&s=24247294&se=1516123504&v=0&f=1992.233_o10.jpg
Sakyamuni with Two Attendants,,,7th Century,1992.372 ,Gilt bronze,https://www.clevelandart.org/art/1992.372,https://piction.clevelandart.org/cma/ump.di?e=043E55BC3E2ED3AE23425709413DDC51C733BFF1078433F5D6DC3B3D74D0232D&s=24247294&se=1235573647&v=1&f=%5Cd2098%5Cu2820988%5C1992.372_o10.jpg
Vase,,,1644–1911,1992.391 ,Glazed porcelain,https://www.clevelandart.org/art/1992.391,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA83E1D98634DBF8D50A5453EB0ECEFD204191C35E7F8B4F85B&s=24247294&se=1235573647&v=0&f=1992.391_o10.jpg
Globular Vase,,,1644–1911,1992.392 ,Glazed porcelain,https://www.clevelandart.org/art/1992.392,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA8160247F665C7204E27DDECC65F814C0783724AA63883A7AD&s=24247294&se=1235573647&v=2&f=1992.392_o10.jpg
Stele with Shakyamuni and Maitreya,,,c. 570s,1993.108 ,Marble with polychromy,https://www.clevelandart.org/art/1993.108,https://piction.clevelandart.org/cma/ump.di?e=EAD82D6C274EE159168ED6E8B073B7953A12470B5BDFA8CE05A1E84BE361F743&s=24247294&se=1701761758&v=3&f=1993.108_o10.jpg
Small Sword,,,1800–1911,1992.393 ,"Metal blade, ivory handle",https://www.clevelandart.org/art/1992.393,https://piction.clevelandart.org/cma/ump.di?e=DF73A405762FDAD61E3B21102F66D9E88114C320A05816E11502E8429769139E&s=24247294&se=1235573647&v=1&f=%5Cd4980%5Cu19049807%5C1992.393_o10.jpg
Seated Amitābha,,,late 1500s–early 1600s,1994.94 ,"Hanging scroll, ink and color on silk",https://www.clevelandart.org/art/1994.94,https://piction.clevelandart.org/cma/ump.di?e=3EEB5557F41CDE58E4A24B4EF1A33DB0676AD742DD8F6FC8BFD99FEF593837BF&s=24247294&se=1219313793&v=3&f=%5Cd9064%5Cu314690644%5C1994.94_o10.jpg
Mat Weight in the Form of a Bear,,,202 BC–AD 9,1994.203 ,Gilt bronze,https://www.clevelandart.org/art/1994.203,https://piction.clevelandart.org/cma/ump.di?e=EAD82D6C274EE159520E7FA3A759D7F502CE1B9DE4D03883524A52B9F3E37BAA&s=24247294&se=1755635800&v=3&f=1994.203_o10.jpg
Mirror,,,206 BC-AD 220,1995.11 ,Bronze,https://www.clevelandart.org/art/1995.11,https://piction.clevelandart.org/cma/ump.di?e=61FCA686F07A464BFF27A1DC48CD5DE47586522D5721EF6F5C0FE802D32583C0&s=24247294&se=663729948&v=1&f=%5Cd3314%5Cu2833149%5C1995.11_o10.jpg
Yixing Teapot,,,1800s,1995.12 ,Stoneware,https://www.clevelandart.org/art/1995.12,https://piction.clevelandart.org/cma/ump.di?e=842049C726F997BAF441B19D068899FE0FD7C62520FCDF1DFA4FBB52CD103C6D&s=24247294&se=663729948&v=1&f=%5Cd5694%5Cu228456946%5C1995.12_o10.jpg
Wine Warmer (Jue),,,c. 1300–1023 BC,1995.205 ,"Pottery, tripod vessel with loop handle and rudimentary bowstring decoration",https://www.clevelandart.org/art/1995.205,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA86464C5BC08FEC110B71F82207574FA4AB6E9C8FAD632A3EC&s=24247294&se=663729948&v=5&f=1995.205_o10.jpg
Wine Warmer (Jue),,,c. 1300–1023 BC,1995.207 ,"Pottery, tripod vessel with loop handle and rudimentary bowstring decoration",https://www.clevelandart.org/art/1995.207,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA878B71956BE1B73847E7E5AFD44DBBDD18CB92A19705545E6&s=24247294&se=663729948&v=5&f=1995.207_o10.jpg
Wine Warmer (Jue),,,c. 1300–1023 BC,1995.206 ,"Pottery, tripod vessel with loop handle and rudimentary bowstring decoration",https://www.clevelandart.org/art/1995.206,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA833FBEE475EFD7A9F4EF546069F2041D2B852C44D7FC0E14D&s=24247294&se=663729948&v=5&f=1995.206_o10.jpg
Wine Warmer (Jue),,,c. 1300–1023 BC,1995.208 ,"Pottery, tripod vessel with loop handle and rudimentary bowstring decoration",https://www.clevelandart.org/art/1995.208,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA8F962EDE8AB754E1ADC1B589C85A4F3813702AA35A014B716&s=24247294&se=663729948&v=5&f=1995.208_o10.jpg
Mirror with Quatrefoil and Feather Pattern,,,300s BC,1995.267 ,Bronze,https://www.clevelandart.org/art/1995.267,https://piction.clevelandart.org/cma/ump.di?e=92B37231D833A780BBD8DC5B957FFC4BDF749A35957F0E420172554DA4A8CD68&s=24247294&se=1784048109&v=5&f=1995.267_o10.jpg
Wine Warmer (Jue),,,c. 1300–1023 BC,1995.209 ,"Pottery, tripod vessel with loop handle and rudimentary bowstring decoration",https://www.clevelandart.org/art/1995.209,https://piction.clevelandart.org/cma/ump.di?e=B92EE7A526DD057C8B7D4D6785B2C60A1A6AED28BF848C7A4B54F4B4B3F55F86&s=24247294&se=663729948&v=1&f=%5Cd1302%5Cu213513028%5C1995.209_o10.jpg
Mirror with Serpentine Interlaces,,,early 5th-late 3rd century BC,1995.268 ,Bronze,https://www.clevelandart.org/art/1995.268,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA7218A416EBEB3F67F81956E495638F6BF7D86EC8C9AB27226F&s=24247294&se=1784048109&v=5&f=1995.268_o10.jpg
Mirror with Serpentine Interlaces,,,early 400s-late 200s BC,1995.269 ,Bronze,https://www.clevelandart.org/art/1995.269,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA720530D4A29777B5AE337D54E4D7B41A4B190396F066DA06D5&s=24247294&se=663729948&v=6&f=1995.269_o10.jpg
Mirror with Serpentine Interlaces and Angular Meanders,,,early 5th-late 3rd century BC,1995.271 ,Bronze,https://www.clevelandart.org/art/1995.271,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72FA0E9680E220BD0A25DA447BD9D7BBD3BC0ACE1E85D6AD71&s=24247294&se=663729948&v=6&f=1995.271_o10.jpg
Mirror with Serpentine Interlaces and Angular Meanders,,,c. 325–275 BC,1995.270 ,Bronze,https://www.clevelandart.org/art/1995.270,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72D741FC732448F9556C7CE36817F0A53112A3D9835C03C9B5&s=24247294&se=1784048109&v=7&f=1995.270_o10.jpg
Mirror with Serpentine Interlaces and Angular Meanders,,,early 5th-late 3rd century BC,1995.272 ,Bronze,https://www.clevelandart.org/art/1995.272,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72B1D4212DBDA875F82039BD9EC49EBA1873C0B8A8B2450D1A&s=24247294&se=663729948&v=6&f=1995.272_o10.jpg
Mirror with Continuous Arcs and Quasi-Dragons,,,late 3rd century BC-1st century,1995.273 ,Bronze,https://www.clevelandart.org/art/1995.273,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72DDA6C12984EB53771CAB010FE31821766B8139BE2E968983&s=24247294&se=663729948&v=6&f=1995.273_o10.jpg
Mirror with Four Dragons Pattern,,,5th-3rd Century BC,1995.274 ,Bronze,https://www.clevelandart.org/art/1995.274,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72A50173BB7E21B0D9BBADA7B12390E883D8BEC03E13C3B55E&s=24247294&se=663729948&v=6&f=1995.274_o10.jpg
Mirror with a Square Band and Four Nipples,,,late 200s-early 100s BC,1995.275 ,Bronze,https://www.clevelandart.org/art/1995.275,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA723BD9D7CD81AE19815A48F8A4C0F42D1A52AF6B9090BA5E01&s=24247294&se=1784048109&v=4&f=1995.275_o10.jpg
Mirror with Quatrefoils and Linked Arcs,,,100s BC,1995.276 ,Bronze,https://www.clevelandart.org/art/1995.276,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72E76AB055A95AF8A586B5DC1643DB51A5351D2C699B57F315&s=24247294&se=1784048109&v=4&f=1995.276_o10.jpg
"Mirror with Double Quatrefoils, Dragons, and Phoenixes",,,200s BC,1995.279 ,Bronze,https://www.clevelandart.org/art/1995.279,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA7279E1B8BEC7042892D3F44E61260DE371BDC2A0898D09721E&s=24247294&se=1784048109&v=5&f=1995.279_o10.jpg
Mirror with Continuous Arcs against Whorl Pattern,,,200s BC,1995.278 ,Bronze,https://www.clevelandart.org/art/1995.278,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72BA0FFBAB47C37878F2DB3DE8239ED9AA3956C53EC889E100&s=24247294&se=1784048109&v=5&f=1995.278_o10.jpg
Mirror with Serpentine Interlaces and Angular Meanders,,,200s BC,1995.277 ,Bronze,https://www.clevelandart.org/art/1995.277,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA723915294F75F194DDF8DB545E88473DE94694A6788B852E1E&s=24247294&se=1784048109&v=4&f=1995.277_o10.jpg
Mirror with Three Dragons,,,200s BC,1995.280 ,Bronze,https://www.clevelandart.org/art/1995.280,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA723C5D0121652BD17CC56700D25DF3BEF0BF7BC74B3A9A404B&s=24247294&se=1784048109&v=3&f=1995.280_o10.jpg
Mirror with Four T's,,,300s BC,1995.281 ,Bronze,https://www.clevelandart.org/art/1995.281,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA723982CB7A809F18A30ABBE574FDACA9F2862575F3D35E901B&s=24247294&se=1784048109&v=4&f=1995.281_o10.jpg
Mirror with Five Blossoms and Overlapping Lozenges,,,300s BC,1995.282 ,Bronze,https://www.clevelandart.org/art/1995.282,https://piction.clevelandart.org/cma/ump.di?e=6C7D896C051051E816483128A65EFDADC5FA47397FCD6814597E0DB53BB974F8&s=24247294&se=1784048109&v=4&f=1995.282_o10.jpg
TLV Mirror with Serpentine Interlaces,,,125–1 BC,1995.283 ,Bronze,https://www.clevelandart.org/art/1995.283,https://piction.clevelandart.org/cma/ump.di?e=6C7D896C051051E82AE61973349B3BB14DB9AE32FA42F8D3F0732F5D75D720F4&s=24247294&se=1784048109&v=4&f=1995.283_o10.jpg
Mirror with Linked Arcs and Kui Dragons,,,2nd century,1995.286 ,Bronze,https://www.clevelandart.org/art/1995.286,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72B2332A55B7BB994E606A418997DA1A4701CC774B6CD44EF3&s=24247294&se=1784048109&v=6&f=1995.286_o10.jpg
"Mirror with a Square Band, Four Nipples, and Grass Leaf Motifs",,,100s BC,1995.285 ,Bronze,https://www.clevelandart.org/art/1995.285,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72D766E9E21E923A77B1E2BDC4EEA7FB4BD75589FC6DC86847&s=24247294&se=1784048109&v=4&f=1995.285_o10.jpg
"Mirror with a Square Band, Four Nipples, and Grass Leaf Motifs",,,late 3rd century BC-1st century,1995.284 ,Bronze,https://www.clevelandart.org/art/1995.284,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72D14840925FD4F8C4EB7D74E7C3DC42630A7FFEA2C8E5A524&s=24247294&se=663729948&v=6&f=1995.284_o10.jpg
"Mirror with a Square Band, Four Nipples, and Grass Leaf Motifs",,,late 3rd century BC-1st century,1995.287 ,Bronze,https://www.clevelandart.org/art/1995.287,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA7211F2A1AD0B36E9777DF9C5C74042B71E6725C1086E3A86DF&s=24247294&se=663729948&v=6&f=1995.287_o10.jpg
Mirror with Clouds and Nebulae,,,late 3rd century BC-early 1st century,1995.289 ,Bronze,https://www.clevelandart.org/art/1995.289,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA7291BA2678ADAA4B4401765805DAD917C9EFF704076071B3F5&s=24247294&se=663729948&v=5&f=1995.289_o10.jpg
Mirror with Concentric Circles and Linked Arcs,,,late 3rd century BC-early 1st century,1995.292 ,Bronze,https://www.clevelandart.org/art/1995.292,https://piction.clevelandart.org/cma/ump.di?e=6C7D896C051051E8D00A5DE44C2E42CA79C7B8657649F7DECE94D32A7DFDC408&s=24247294&se=663729948&v=6&f=1995.292_o10.jpg
Mirror with Concentric Circles and Linked Arcs,,,late 3rd Century BC - early 1st Century,1995.291 ,Bronze,https://www.clevelandart.org/art/1995.291,https://piction.clevelandart.org/cma/ump.di?e=6C7D896C051051E8D238DDED0AFFA4B015F85A9B67825B3CFBA073378AF05017&s=24247294&se=1784048109&v=4&f=1995.291_o10.jpg
Mirror with Concentric Circles and Linked Arcs,,,late 200s-9 BC,1995.290 ,Bronze,https://www.clevelandart.org/art/1995.290,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72EFD0D8E4ABEA26B067F6546357BCFEAA1E49D9BDB1CBEA71&s=24247294&se=1784048109&v=6&f=1995.290_o10.jpg
TLV Mirror with Gilt Surface,,,100s BC,1995.294 ,Gilt bronze,https://www.clevelandart.org/art/1995.294,https://piction.clevelandart.org/cma/ump.di?e=6C7D896C051051E8713EA650B882FB5EAF3396285255A8B9EE4C7C78746D99F8&s=24247294&se=1784048109&v=3&f=1995.294_o10.jpg
Mirror with Four Nipples and Four Birds,,,206 BC-AD 9,1995.297 ,Bronze,https://www.clevelandart.org/art/1995.297,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA7249CC459812E6EAE21F815175B4C0D238365424ED5CE462FD&s=24247294&se=1784048109&v=5&f=1995.297_o10.jpg
TLV Mirror with Multiple Nipples,,,AD 9–23,1995.299 ,Bronze,https://www.clevelandart.org/art/1995.299,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA724C38B919A581F1D1BFB6F79B7677CC1AB38EC9201722461B&s=24247294&se=1784048109&v=3&f=1995.299_o10.jpg
TLV Mirror with Multiple Nipples,,,AD 9–23,1995.298 ,Bronze,https://www.clevelandart.org/art/1995.298,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72A1FF5BAABC17B0BD1EEE12408C5BE87331AFC7E6BC0C55EB&s=24247294&se=1784048109&v=3&f=1995.298_o10.jpg
TLV Mirror,,,early 1st Century - early 3rd Century,1995.296 ,Bronze,https://www.clevelandart.org/art/1995.296,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA720803023C84C1EC5B3D93593CC14D1A65A5E524FB6BBB1313&s=24247294&se=1784048109&v=3&f=1995.296_o10.jpg
TLV Mirror with Multiple Nipples,,,AD 9–23,1995.295 ,Bronze,https://www.clevelandart.org/art/1995.295,https://piction.clevelandart.org/cma/ump.di?e=CCF0D2DA38CCF0C4D7B9E0B9403160656E9DFB145ABE1617CD7B887D5A3A100F&s=24247294&se=913805914&v=3&f=%5Cd2168%5Cu262921688%5C1995.295_o10.jpg
"Mirror with Concentric Circles, an Immortal, and Auspicious Animals",,,AD 25–100,1995.304 ,Bronze,https://www.clevelandart.org/art/1995.304,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA7217B3D35F9F9F2E1A8867520E5DA45955B62D80397D35FCD9&s=24247294&se=1784048109&v=6&f=1995.304_o10.jpg
"Mirror with Concentric Circles, an Immortal, and Auspicious Animals",,,100 BC-100 AD,1995.303 ,Bronze,https://www.clevelandart.org/art/1995.303,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72E22EAB3F002EE88A8E1DBCAA5E15EF48253810E5B660E797&s=24247294&se=1784048109&v=5&f=1995.303_o10.jpg
"Mirror with Quatrefoil, Four Nipples, Animals, and Birds",,,late 3rd Century BC - early 1st Century,1995.302 ,Bronze,https://www.clevelandart.org/art/1995.302,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA7211249465A37C3C6CAE2E2FC51FA41EA7787E4A1BC5218472&s=24247294&se=663729948&v=6&f=1995.302_o10.jpg
TLV Mirror with Four Spirits and Companions,,,AD 9–100,1995.301 ,Bronze,https://www.clevelandart.org/art/1995.301,https://piction.clevelandart.org/cma/ump.di?e=A3FFEAC20270D97208ED49263C502A9F22254AD385B21E0A76651A7D5CC88BB0&s=24247294&se=1784048109&v=1&f=%5Cd9463%5Cu236494632%5C1995.301_o10.jpg
"Mirror with Four Nipples, Dragons, and Tigers",,,1st century BC,1995.300 ,Bronze,https://www.clevelandart.org/art/1995.300,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA72F0CE7929710E0940D36D3AC37612423682ED2FCDB9BF9608&s=24247294&se=1784048109&v=5&f=1995.300_o10.jpg
"Mirror with Four Nipples, Quasi-Dragons, and Birds",,,late 3rd Century BC - early 1st Century,1995.308 ,Bronze,https://www.clevelandart.org/art/1995.308,https://piction.clevelandart.org/cma/ump.di?e=EC430C4C22E2AA720ECDF3167AEA7913ED89527AEF958B905406E35209053E65&s=24247294&se=663729948&v=6&f=1995.308_o10.jpg
